author,story,text
Grimms,little_red-cap_[little_red_riding_hood],"Once upon a time there was a dear little girl who was loved by everyone who looked at her, but most of all by her grandmother, and there was nothing that she would not have given to the child."
Grimms,little_red-cap_[little_red_riding_hood],"Once she gave her a little cap of red velvet, which suited her so well that she would never wear anything else; so she was always called ""Little RedCap."""
Grimms,little_red-cap_[little_red_riding_hood],"One day her mother said to her: ""Come, Little Red-Cap, here is a piece of cake and a bottle of wine; take them to your grandmother, she is ill and weak, and they will do her good."
Grimms,little_red-cap_[little_red_riding_hood],"Set out before it gets hot, and when you are going, walk nicely and quietly and do not run off the path, or you may fall and break the bottle, and then your grandmother will get nothing; and when you go into her room, don""t forget to say, ""Good morning"", and don""t peep into every corner before you do it."""
Grimms,little_red-cap_[little_red_riding_hood],"""I will take great care,"" said Little Red-Cap to her mother, and gave her hand on it."
Grimms,little_red-cap_[little_red_riding_hood],"The grandmother lived out in the wood, half a league from the village, and just as Little Red-Cap entered the wood, a wolf met her."
Grimms,little_red-cap_[little_red_riding_hood],"Red-Cap did not know what a wicked creature he was, and was not at all afraid of him."
Grimms,little_red-cap_[little_red_riding_hood],"""Good day, Little Red-Cap,"" said he."
Grimms,little_red-cap_[little_red_riding_hood],"""Thank you kindly, wolf."""
Grimms,little_red-cap_[little_red_riding_hood],"""Whither away so early, Little Red-Cap?"""
Grimms,little_red-cap_[little_red_riding_hood],"""To my grandmother""s."""
Grimms,little_red-cap_[little_red_riding_hood],"""What have you got in your apron?"""
Grimms,little_red-cap_[little_red_riding_hood],"""Cake and wine; yesterday was baking-day, so poor sick grandmother is to have something good, to make her stronger."""
Grimms,little_red-cap_[little_red_riding_hood],"""Where does your grandmother live, Little Red-Cap?"""
Grimms,little_red-cap_[little_red_riding_hood],"""A good quarter of a league farther on in the wood; her house stands under the three large oak-trees, the nut-trees are just below; you surely must know it,"" replied Little Red-Cap."
Grimms,little_red-cap_[little_red_riding_hood],"The wolf thought to himself: ""What a tender young creature! what a nice plump mouthful--she will be better to eat than the old woman."
Grimms,little_red-cap_[little_red_riding_hood],"I must act craftily, so as to catch both."""
Grimms,little_red-cap_[little_red_riding_hood],"So he walked for a short time by the side of Little Red-Cap, and then he said: ""See, Little Red-Cap, how pretty the flowers are about here--why do you not look round?"
Grimms,little_red-cap_[little_red_riding_hood],"I believe, too, that you do not hear how sweetly the little birds are singing; you walk gravely along as if you were going to school, while everything else out here in the wood is merry."""
Grimms,little_red-cap_[little_red_riding_hood],"Little Red-Cap raised her eyes, and when she saw the sunbeams dancing here and there through the trees, and pretty flowers growing everywhere, she thought: ""Suppose I take grandmother a fresh nosegay; that would please her too."
Grimms,little_red-cap_[little_red_riding_hood],"It is so early in the day that I shall still get there in good time""; and so she ran from the path into the wood to look for flowers."
Grimms,little_red-cap_[little_red_riding_hood],"And whenever she had picked one, she fancied that she saw a still prettier one farther on, and ran after it, and so got deeper and deeper into the wood."
Grimms,little_red-cap_[little_red_riding_hood],"Meanwhile the wolf ran straight to the grandmother""s house and knocked at the door."
Grimms,little_red-cap_[little_red_riding_hood],"""Who is there?"""
Grimms,little_red-cap_[little_red_riding_hood],"""Little Red-Cap,"" replied the wolf."
Grimms,little_red-cap_[little_red_riding_hood],"""She is bringing cake and wine; open the door."""
Grimms,little_red-cap_[little_red_riding_hood],"""Lift the latch,"" called out the grandmother, ""I am too weak, and cannot get up."""
Grimms,little_red-cap_[little_red_riding_hood],"The wolf lifted the latch, the door sprang open, and without saying a word he went straight to the grandmother""s bed, and devoured her."
Grimms,little_red-cap_[little_red_riding_hood],"Then he put on her clothes, dressed himself in her cap laid himself in bed and drew the curtains."
Grimms,little_red-cap_[little_red_riding_hood],"Little Red-Cap, however, had been running about picking flowers, and when she had gathered so many that she could carry no more, she remembered her grandmother, and set out on the way to her."
Grimms,little_red-cap_[little_red_riding_hood],"She was surprised to find the cottage-door standing open, and when she went into the room, she had such a strange feeling that she said to herself: ""Oh dear! how uneasy I feel today, and at other times I like being with grandmother so much."""
Grimms,little_red-cap_[little_red_riding_hood],"She called out: ""Good morning,"" but received no answer; so she went to the bed and drew back the curtains."
Grimms,little_red-cap_[little_red_riding_hood],"There lay her grandmother with her cap pulled far over her face, and looking very strange."
Grimms,little_red-cap_[little_red_riding_hood],"""Oh! grandmother,"" she said, ""what big ears you have!"""
Grimms,little_red-cap_[little_red_riding_hood],"""The better to hear you with, my child,"" was the reply."
Grimms,little_red-cap_[little_red_riding_hood],"""But, grandmother, what big eyes you have!"" she said."
Grimms,little_red-cap_[little_red_riding_hood],"""The better to see you with, my dear."""
Grimms,little_red-cap_[little_red_riding_hood],"""But, grandmother, what large hands you have!"""
Grimms,little_red-cap_[little_red_riding_hood],"""The better to hug you with."""
Grimms,little_red-cap_[little_red_riding_hood],"""Oh! but, grandmother, what a terrible big mouth you have!"""
Grimms,little_red-cap_[little_red_riding_hood],"""The better to eat you with!"""
Grimms,little_red-cap_[little_red_riding_hood],"And scarcely had the wolf said this, than with one bound he was out of bed and swallowed up Red-Cap."
Grimms,little_red-cap_[little_red_riding_hood],"When the wolf had appeased his appetite, he lay down again in the bed, fell asleep and began to snore very loud."
Grimms,little_red-cap_[little_red_riding_hood],"The huntsman was just passing the house, and thought to himself: ""How the old woman is snoring!"
Grimms,little_red-cap_[little_red_riding_hood],"I must just see if she wants anything."""
Grimms,little_red-cap_[little_red_riding_hood],"So he went into the room, and when he came to the bed, he saw that the wolf was lying in it."
Grimms,little_red-cap_[little_red_riding_hood],"""Do I find you here, you old sinner!"" said he."
Grimms,little_red-cap_[little_red_riding_hood],"""I have long sought you!"""
Grimms,little_red-cap_[little_red_riding_hood],"Then just as he was going to fire at him, it occurred to him that the wolf might have devoured the grandmother, and that she might still be saved, so he did not fire, but took a pair of scissors, and began to cut open the stomach of the sleeping wolf."
Grimms,little_red-cap_[little_red_riding_hood],"When he had made two snips, he saw the little Red-Cap shining, and then he made two snips more, and the little girl sprang out, crying: ""Ah, how frightened I have been!"
