author,story,text
Potter,the_tale_of_benjamin_bunny,One morning a little rabbit sat on a bank.
Potter,the_tale_of_benjamin_bunny,"He pricked his ears and listened to the trit-trot, trit-trot of a pony."
Potter,the_tale_of_benjamin_bunny,"A gig was coming along the road; it was driven by Mr. McGregor, and beside him sat Mrs. McGregor in her best bonnet."
Potter,the_tale_of_benjamin_bunny,"As soon as they had passed, little Benjamin Bunny slid down into the road, and set off--with a hop, skip, and a jump--to call upon his relations, who lived in the wood at the back of Mr. McGregor's garden."
Potter,the_tale_of_benjamin_bunny,"That wood was full of rabbit holes; and in the neatest, sandiest hole of all lived Benjamin's aunt and his cousins--Flopsy, Mopsy, Cotton-tail, and Peter."
Potter,the_tale_of_benjamin_bunny,Old Mrs. Rabbit was a widow; she earned her living by knitting rabbit-wool mittens and muffatees (I once bought a pair at a bazaar).
Potter,the_tale_of_benjamin_bunny,"She also sold herbs, and rosemary tea, and rabbit-tobacco (which is what we call lavender)."
Potter,the_tale_of_benjamin_bunny,Little Benjamin did not very much want to see his Aunt.
Potter,the_tale_of_benjamin_bunny,"He came round the back of the fir- tree, and nearly tumbled upon the top of his Cousin Peter."
Potter,the_tale_of_benjamin_bunny,Peter was sitting by himself.
Potter,the_tale_of_benjamin_bunny,"He looked poorly, and was dressed in a red cotton pocket-handkerchief."
Potter,the_tale_of_benjamin_bunny,"""Peter,"" said little Benjamin, in a whisper, ""who has got your clothes?"""
Potter,the_tale_of_benjamin_bunny,"Peter replied, ""The scarecrow in Mr. McGregor's garden,"" and described how he had been chased about the garden, and had dropped his shoes and coat."
Potter,the_tale_of_benjamin_bunny,"Little Benjamin sat down beside his cousin and assured him that Mr. McGregor had gone out in a gig, and Mrs. McGregor also; and certainly for the day, because she was wearing her best bonnet."
Potter,the_tale_of_benjamin_bunny,Peter said he hoped that it would rain.
Potter,the_tale_of_benjamin_bunny,"At this point old Mrs. Rabbit's voice was heard inside the rabbit hole, calling: ""Cotton-tail!"
Potter,the_tale_of_benjamin_bunny,"Cotton-tail! fetch some more camomile!"""
Potter,the_tale_of_benjamin_bunny,Peter said he thought he might feel better if he went for a walk.
Potter,the_tale_of_benjamin_bunny,"They went away hand in hand, and got upon the flat top of the wall at the bottom of the wood."
Potter,the_tale_of_benjamin_bunny,From here they looked down into Mr. McGregor's garden.
Potter,the_tale_of_benjamin_bunny,"Peter's coat and shoes were plainly to be seen upon the scarecrow, topped with an old tam-o'-shanter of Mr. McGregor's."
Potter,the_tale_of_benjamin_bunny,"Little Benjamin said: ""It spoils people's clothes to squeeze under a gate; the proper way to get in is to climb down a pear-tree."""
Potter,the_tale_of_benjamin_bunny,"Peter fell down head first; but it was of no consequence, as the bed below was newly raked and quite soft."
Potter,the_tale_of_benjamin_bunny,It had been sown with lettuces.
Potter,the_tale_of_benjamin_bunny,"They left a great many odd little footmarks all over the bed, especially little Benjamin, who was wearing clogs."
Potter,the_tale_of_benjamin_bunny,"Little Benjamin said that the first thing to be done was to get back Peter's clothes, in order that they might be able to use the pocket- handkerchief."
Potter,the_tale_of_benjamin_bunny,They took them off the scarecrow.
Potter,the_tale_of_benjamin_bunny,"There had been rain during the night; there was water in the shoes, and the coat was somewhat shrunk."
Potter,the_tale_of_benjamin_bunny,"Benjamin tried on the tam-o'- shanter, but it was too big for him."
Potter,the_tale_of_benjamin_bunny,"Then he suggested that they should fill the pocket-handkerchief with onions, as a little present for his Aunt."
