author,story,text
HCAndersen,goloshes,"IN a house in Copenhagen, not far from the king's new market, a very large party had assembled, the host and his family expecting, no doubt, to receive invitations in return."
HCAndersen,goloshes,"One half of the company were already seated at the card-tables, the other half seemed to be waiting the result of their hostess's question, ""Well, how shall we amuse ourselves?"""
HCAndersen,goloshes,"Conversation followed, which, after a while, began to prove very entertaining."
HCAndersen,goloshes,"Among other subjects, it turned upon the events of the middle ages, which some persons maintained were more full of interest than our own times."
HCAndersen,goloshes,"Counsellor Knapp defended this opinion so warmly that the lady of the house immediately went over to his side, and both exclaimed against Oersted's Essays on Ancient and Modern Times, in which the preference is given to our own."
HCAndersen,goloshes,"The counsellor considered the times of the Danish king, Hans, as the noblest and happiest."
HCAndersen,goloshes,"The conversation on this topic was only interrupted for a moment by the arrival of a newspaper, which did not, however, contain much worth reading, and while it is still going on we will pay a visit to the ante-room, in which cloaks, sticks, and goloshes were carefully placed."
HCAndersen,goloshes,"Here sat two maidens, one young, and the other old, as if they had come and were waiting to accompany their mistresses home; but on looking at them more closely, it could easily be seen that they were no common servants."
HCAndersen,goloshes,"Their shapes were too graceful, their complexions too delicate, and the cut of their dresses much too elegant."
HCAndersen,goloshes,They were two fairies.
HCAndersen,goloshes,"The younger was not Fortune herself, but the chambermaid of one of Fortune's attendants, who carries about her more trifling gifts."
HCAndersen,goloshes,"The elder one, who was named Care, looked rather gloomy; she always goes about to perform her own business in person; for then she knows it is properly done."
HCAndersen,goloshes,They were telling each other where they had been during the day.
HCAndersen,goloshes,"The messenger of Fortune had only transacted a few unimportant matters; for instance, she had preserved a new bonnet from a shower of rain, and obtained for an honest man a bow from a titled nobody, and so on; but she had something extraordinary to relate, after all."
HCAndersen,goloshes,"""I must tell you,"" said she, ""that to-day is my birthday; and in honor of it I have been intrusted with a pair of goloshes, to introduce amongst mankind."
HCAndersen,goloshes,"These goloshes have the property of making every one who puts them on imagine himself in any place he wishes, or that he exists at any period."
HCAndersen,goloshes,"Every wish is fulfilled at the moment it is expressed, so that for once mankind have the chance of being happy."""
HCAndersen,goloshes,"No,"" replied Care; ""you may depend upon it that whoever puts on those goloshes will be very unhappy, and bless the moment in which he can get rid of them."""
HCAndersen,goloshes,"""What are you thinking of?"" replied the other."
HCAndersen,goloshes,"""Now see; I will place them by the door; some one will take them instead of his own, and he will be the happy man."""
HCAndersen,goloshes,This was the end of their conversation.
HCAndersen,goloshes,COUNSELLOR WHAT HAPPENED TO THE COUNSELLOR
HCAndersen,goloshes,"IT was late when Counsellor Knapp, lost in thought about the times of King Hans, desired to return home; and fate so ordered it that he put on the goloshes of Fortune instead of his own, and walked out into the East Street."
HCAndersen,goloshes,"Through the magic power of the goloshes, he was at once carried back three hundred years, to the times of King Hans, for which he had been longing when he put them on."
HCAndersen,goloshes,"Therefore he immediately set his foot into the mud and mire of the street, which in those days possessed no pavement."
HCAndersen,goloshes,"""Why, this is horrible; how dreadfully dirty it is!"" said the counsellor; and the whole pavement has vanished, and the lamps are all out."""
HCAndersen,goloshes,"The moon had not yet risen high enough to penetrate the thick foggy air, and all the objects around him were confused together in the darkness."
HCAndersen,goloshes,"At the nearest corner, a lamp hung before a picture of the Madonna; but the light it gave was almost useless, for he only perceived it when he came quite close and his eyes fell on the painted figures of the Mother and Child."
HCAndersen,goloshes,"""That is most likely a museum of art,"" thought he, ""and they have forgotten to take down the sign."""
HCAndersen,goloshes,"Two men, in the dress of olden times, passed by him."
HCAndersen,goloshes,"""What odd figures!"" thought he; ""they must be returning from some masquerade."""
HCAndersen,goloshes,"Suddenly he heard the sound of a drum and fifes, and then a blazing light from torches shone upon him."
HCAndersen,goloshes,The counsellor stared with astonishment as he beheld a most strange procession pass before him.
HCAndersen,goloshes,"First came a whole troop of drummers, beating their drums very cleverly; they were followed by life-guards, with longbows and crossbows."
HCAndersen,goloshes,The principal person in the procession was a clerical-looking gentleman.
HCAndersen,goloshes,"The astonished counsellor asked what it all meant, and who the gentleman might be."
HCAndersen,goloshes,"""That is the bishop of Zealand."""
HCAndersen,goloshes,"""Good gracious!"" he exclaimed; ""what in the world has happened to the bishop? what can he be thinking about?"""
HCAndersen,goloshes,"Then he shook his head and said, ""It cannot possibly be the bishop himself."""
HCAndersen,goloshes,"While musing on this strange affair, and without looking to the right or left, he walked on through East Street and over Highbridge Place."
HCAndersen,goloshes,"The bridge, which he supposed led to Palace Square, was nowhere to be found; but instead, he saw a bank and some shallow water, and two people, who sat in a boat."
HCAndersen,goloshes,"""Does the gentleman wish to be ferried over the Holm?"" asked one."
HCAndersen,goloshes,"""To the Holm!"" exclaimed the counsellor, not knowing in what age he was now existing; ""I want to go to Christian's Haven, in Little Turf Street."""
HCAndersen,goloshes,The men stared at him.
HCAndersen,goloshes,"""Pray tell me where the bridge is!"" said he."
HCAndersen,goloshes,"""It is shameful that the lamps are not lighted here, and it is as muddy as if one were walking in a marsh."""
HCAndersen,goloshes,But the more he talked with the boatmen the less they could understand each other.
HCAndersen,goloshes,"""I don't understand your outlandish talk,"" he cried at last, angrily turning his back upon them."
HCAndersen,goloshes,"He could not, however, find the bridge nor any railings."
HCAndersen,goloshes,"""What a scandalous condition this place is in,"" said he; never, certainly, had he found his own times so miserable as on this evening."
HCAndersen,goloshes,"""I think it will be better for me to take a coach; but where are they?"""
HCAndersen,goloshes,There was not one to be seen!
HCAndersen,goloshes,"""I shall be obliged to go back to the king's new market,"" said he, ""where there are plenty of carriages standing, or I shall never reach Christian's Haven."""
HCAndersen,goloshes,"Then he went towards East Street, and had nearly passed through it, when the moon burst forth from a cloud."
HCAndersen,goloshes,"""Dear me, what have they been erecting here?"" he cried, as he caught sight of the East gate, which in olden times used to stand at the end of East Street."
HCAndersen,goloshes,"However, he found an opening through which he passed, and came out upon where he expected to find the new market."
HCAndersen,goloshes,"Nothing was to be seen but an open meadow, surrounded by a few bushes, through which ran a broad canal or stream."
HCAndersen,goloshes,"A few miserable-looking wooden booths, for the accommodation of Dutch watermen, stood on the opposite shore."
HCAndersen,goloshes,"""Either I behold a fata morgana, or I must be tipsy,"" groaned the counsellor."
HCAndersen,goloshes,"""What can it be?"
HCAndersen,goloshes,"What is the matter with me?"""
HCAndersen,goloshes,He turned back in the full conviction that he must be ill.
HCAndersen,goloshes,"In walking through the street this time, he examined the houses more closely; he found that most of them were built of lath and plaster, and many had only a thatched roof."
HCAndersen,goloshes,"""I am certainly all wrong,"" said he, with a sigh; and yet I only drank one glass of punch."
HCAndersen,goloshes,"But I cannot bear even that, and it was very foolish to give us punch and hot salmon; I shall speak about it to our hostess, the agent's lady."
HCAndersen,goloshes,"Suppose I were to go back now and say how ill I feel, I fear it would look so ridiculous, and it is not very likely that I should find any one up."""
HCAndersen,goloshes,"Then he looked for the house, but it was not in existence."
HCAndersen,goloshes,"""This is really frightful; I cannot even recognize East Street."
HCAndersen,goloshes,"Not a shop to be seen; nothing but old, wretched, tumble-down houses, just as if I were at Roeskilde or Ringstedt."
HCAndersen,goloshes,"Oh, I really must be ill!"
HCAndersen,goloshes,It is no use to stand upon ceremony.
HCAndersen,goloshes,But where in the world is the agent's house.
HCAndersen,goloshes,"There is a house, but it is not his; and people still up in it, I can hear."
HCAndersen,goloshes,Oh dear!
HCAndersen,goloshes,"I certainly am very queer."""
HCAndersen,goloshes,"As he reached the half-open door, he saw a light and went in."
HCAndersen,goloshes,"It was a tavern of the olden times, and seemed a kind of beershop."
HCAndersen,goloshes,The room had the appearance of a Dutch interior.
HCAndersen,goloshes,"A number of people, consisting of seamen, Copenhagen citizens, and a few scholars, sat in deep conversation over their mugs, and took very little notice of the new comer."
HCAndersen,goloshes,"""Pardon me,"" said the counsellor, addressing the landlady, ""I do not feel quite well, and I should be much obliged if you will send for a fly to take me to Christian's Haven."""
HCAndersen,goloshes,The woman stared at him and shook her head.
HCAndersen,goloshes,Then she spoke to him in German.
HCAndersen,goloshes,The counsellor supposed from this that she did not understand Danish; he therefore repeated his request in German.
HCAndersen,goloshes,"This, as well as his singular dress, convinced the woman that he was a foreigner."
HCAndersen,goloshes,"She soon understood, however, that he did not find himself quite well, and therefore brought him a mug of water."
HCAndersen,goloshes,"It had something of the taste of seawater, certainly, although it had been drawn from the well outside."
HCAndersen,goloshes,"Then the counsellor leaned his head on his hand, drew a deep breath, and pondered over all the strange things that had happened to him."
HCAndersen,goloshes,"""Is that to-day's number of the Day?"" he asked, quite mechanically, as he saw the woman putting by a large piece of paper."
HCAndersen,goloshes,"She did not understand what he meant, but she handed him the sheet; it was a woodcut, representing a meteor, which had appeared in the town of Cologne."
HCAndersen,goloshes,"""That is very old,"" said the counsellor, becoming quite cheerful at the sight of this antique drawing."
HCAndersen,goloshes,"""Where did you get this singular sheet?"
HCAndersen,goloshes,"It is very interesting, although the whole affair is a fable."
HCAndersen,goloshes,"Meteors are easily explained in these days; they are northern lights, which are often seen, and are no doubt caused by electricity."""
