author,story,text
HCAndersen,ugly_duc,"IT was lovely summer weather in the country, and the golden corn, the green oats, and the haystacks piled up in the meadows looked beautiful."
HCAndersen,ugly_duc,"The stork walking about on his long red legs chattered in the Egyptian language, which he had learnt from his mother."
HCAndersen,ugly_duc,"The corn-fields and meadows were surrounded by large forests, in the midst of which were deep pools."
HCAndersen,ugly_duc,"It was, indeed, delightful to walk about in the country."
HCAndersen,ugly_duc,"In a sunny spot stood a pleasant old farm-house close by a deep river, and from the house down to the water side grew great burdock leaves, so high, that under the tallest of them a little child could stand upright."
HCAndersen,ugly_duc,The spot was as wild as the centre of a thick wood.
HCAndersen,ugly_duc,"In this snug retreat sat a duck on her nest, watching for her young brood to hatch; she was beginning to get tired of her task, for the little ones were a long time coming out of their shells, and she seldom had any visitors."
HCAndersen,ugly_duc,"The other ducks liked much better to swim about in the river than to climb the slippery banks, and sit under a burdock leaf, to have a gossip with her."
HCAndersen,ugly_duc,"At length one shell cracked, and then another, and from each egg came a living creature that lifted its head and cried, ""Peep, peep."""
HCAndersen,ugly_duc,"""Quack, quack,"" said the mother, and then they all quacked as well as they could, and looked about them on every side at the large green leaves."
HCAndersen,ugly_duc,"Their mother allowed them to look as much as they liked, because green is good for the eyes."
HCAndersen,ugly_duc,"""How large the world is,"" said the young ducks, when they found how much more room they now had than while they were inside the egg-shell."
HCAndersen,ugly_duc,"""Do you imagine this is the whole world?"" asked the mother; ""Wait till you have seen the garden; it stretches far beyond that to the parson's field, but I have never ventured to such a distance."
HCAndersen,ugly_duc,"Are you all out?"" she continued, rising; ""No, I declare, the largest egg lies there still."
HCAndersen,ugly_duc,"I wonder how long this is to last, I am quite tired of it;"" and she seated herself again on the nest."
HCAndersen,ugly_duc,"""Well, how are you getting on?"" asked an old duck, who paid her a visit."
HCAndersen,ugly_duc,"""One egg is not hatched yet,"" said the duck, ""it will not break."
HCAndersen,ugly_duc,"But just look at all the others, are they not the prettiest little ducklings you ever saw?"
HCAndersen,ugly_duc,"They are the image of their father, who is so unkind, he never comes to see."""
HCAndersen,ugly_duc,"""Let me see the egg that will not break,"" said the duck; ""I have no doubt it is a turkey's egg."
HCAndersen,ugly_duc,"I was persuaded to hatch some once, and after all my care and trouble with the young ones, they were afraid of the water."
HCAndersen,ugly_duc,"I quacked and clucked, but all to no purpose."
HCAndersen,ugly_duc,I could not get them to venture in.
HCAndersen,ugly_duc,Let me look at the egg.
HCAndersen,ugly_duc,"Yes, that is a turkey's egg; take my advice, leave it where it is and teach the other children to swim."""
HCAndersen,ugly_duc,"""I think I will sit on it a little while longer,"" said the duck; ""as I have sat so long already, a few days will be nothing."""
HCAndersen,ugly_duc,"""Please yourself,"" said the old duck, and she went away."
HCAndersen,ugly_duc,"At last the large egg broke, and a young one crept forth crying, ""Peep, peep."""
HCAndersen,ugly_duc,It was very large and ugly.
HCAndersen,ugly_duc,"The duck stared at it and exclaimed, ""It is very large and not at all like the others."
HCAndersen,ugly_duc,I wonder if it really is a turkey.
HCAndersen,ugly_duc,"We shall soon find it out, however when we go to the water."
HCAndersen,ugly_duc,"It must go in, if I have to push it myself."""
HCAndersen,ugly_duc,"On the next day the weather was delightful, and the sun shone brightly on the green burdock leaves, so the mother duck took her young brood down to the water, and jumped in with a splash."
HCAndersen,ugly_duc,"""Quack, quack,"" cried she, and one after another the little ducklings jumped in."
HCAndersen,ugly_duc,"The water closed over their heads, but they came up again in an instant, and swam about quite prettily with their legs paddling under them as easily as possible, and the ugly duckling was also in the water swimming with them."
HCAndersen,ugly_duc,"""Oh,"" said the mother, ""that is not a turkey; how well he uses his legs, and how upright he holds himself!"
HCAndersen,ugly_duc,"He is my own child, and he is not so very ugly after all if you look at him properly."
HCAndersen,ugly_duc,"Quack, quack! come with me now, I will take you into grand society, and introduce you to the farmyard, but you must keep close to me or you may be trodden upon; and, above all, beware of the cat."""
HCAndersen,ugly_duc,"When they reached the farmyard, there was a great disturbance, two families were fighting for an eel's head, which, after all, was carried off by the cat."
