author,story,text
Grimms,cat_and_mouse_in_partnership,"A certain cat had made the acquaintance of a mouse, and had said so much to her about the great love and friendship she felt for her, that at length the mouse agreed that they should live and keep house together."
Grimms,cat_and_mouse_in_partnership,"""But we must make a provision for winter, or else we shall suffer from hunger,"" said the cat; ""and you, little mouse, cannot venture everywhere, or you will be caught in a trap some day."""
Grimms,cat_and_mouse_in_partnership,"The good advice was followed, and a pot of fat was bought, but they did not know where to put it."
Grimms,cat_and_mouse_in_partnership,"At length, after much consideration, the cat said: ""I know no place where it will be better stored up than in the church, for no one dares take anything away from there."
Grimms,cat_and_mouse_in_partnership,"We will set it beneath the altar, and not touch it until we are really in need of it."""
Grimms,cat_and_mouse_in_partnership,"So the pot was placed in safety, but it was not long before the cat had a great yearning for it, and said to the mouse: ""I want to tell you something, little mouse; my cousin has brought a little son into the world, and has asked me to be godmother; he is white with brown spots, and I am to hold him over the font at the christening."
Grimms,cat_and_mouse_in_partnership,"Let me go out today, and you look after the house by yourself."""
Grimms,cat_and_mouse_in_partnership,"""Yes, yes,"" answered the mouse, ""by all means go, and if you get anything very good to eat, think of me."
Grimms,cat_and_mouse_in_partnership,"I should like a drop of sweet red christening wine myself."""
Grimms,cat_and_mouse_in_partnership,"All this, however, was untrue; the cat had no cousin, and had not been asked to be godmother."
Grimms,cat_and_mouse_in_partnership,"She went straight to the church, stole to the pot of fat, began to lick at it, and licked the top of the fat off."
Grimms,cat_and_mouse_in_partnership,"Then she took a walk upon the roofs of the town, looked out for opportunities, and then stretched herself in the sun, and licked her lips whenever she thought of the pot of fat, and not until it was evening did she return home."
Grimms,cat_and_mouse_in_partnership,"""Well, here you are again,"" said the mouse, ""no doubt you have had a merry day."""
Grimms,cat_and_mouse_in_partnership,"""All went off well,"" answered the cat."
Grimms,cat_and_mouse_in_partnership,"""What name did they give the child?"""
Grimms,cat_and_mouse_in_partnership,"""Top off!"" said the cat quite coolly."
Grimms,cat_and_mouse_in_partnership,"""Top off!"" cried the mouse, ""that is a very odd and uncommon name, is it a usual one in your family?"""
Grimms,cat_and_mouse_in_partnership,"""What does that matter,"" said the cat, ""it is no worse than Crumb-stealer, as your godchildren are called."""
Grimms,cat_and_mouse_in_partnership,Before long the cat was seized by another fit of yearning.
Grimms,cat_and_mouse_in_partnership,"She said to the mouse: ""You must do me a favour, and once more manage the house for a day alone."
Grimms,cat_and_mouse_in_partnership,"I am again asked to be godmother, and, as the child has a white ring round its neck, I cannot refuse."""
Grimms,cat_and_mouse_in_partnership,"The good mouse consented, but the cat crept behind the town walls to the church, and devoured half the pot of fat."
Grimms,cat_and_mouse_in_partnership,"""Nothing ever seems so good as what one keeps to oneself,"" said she, and was quite satisfied with her day""s work."
Grimms,cat_and_mouse_in_partnership,"When she went home the mouse inquired: ""And what was the child christened?"""
Grimms,cat_and_mouse_in_partnership,"""Half-done,"" answered the cat."
Grimms,cat_and_mouse_in_partnership,"""Half-done!"
Grimms,cat_and_mouse_in_partnership,What are you saying?
Grimms,cat_and_mouse_in_partnership,"I never heard the name in my life, I""ll wager anything it is not in the calendar!"""
Grimms,cat_and_mouse_in_partnership,"The cat""s mouth soon began to water for some more licking."
Grimms,cat_and_mouse_in_partnership,"""All good things go in threes,"" said she, ""I am asked to stand godmother again."
