author,story,text
HCAndersen,good_for,THE mayor stood at the open window.
HCAndersen,good_for,"He looked smart, for his shirt-frill, in which he had stuck a breast-pin, and his ruffles, were very fine."
HCAndersen,good_for,"He had shaved his chin uncommonly smooth, although he had cut himself slightly, and had stuck a piece of newspaper over the place."
HCAndersen,good_for,"""Hark 'ee, youngster!"" cried he."
HCAndersen,good_for,"The boy to whom he spoke was no other than the son of a poor washer-woman, who was just going past the house."
HCAndersen,good_for,"He stopped, and respectfully took off his cap."
HCAndersen,good_for,"The peak of this cap was broken in the middle, so that he could easily roll it up and put it in his pocket."
HCAndersen,good_for,"He stood before the mayor in his poor but clean and well-mended clothes, with heavy wooden shoes on his feet, looking as humble as if it had been the king himself."
HCAndersen,good_for,"""You are a good and civil boy,"" said the mayor."
HCAndersen,good_for,"""I suppose your mother is busy washing the clothes down by the river, and you are going to carry that thing to her that you have in your pocket."
HCAndersen,good_for,It is very bad for your mother.
HCAndersen,good_for,"How much have you got in it?"""
HCAndersen,good_for,"""Only half a quartern,"" stammered the boy in a frightened voice."
HCAndersen,good_for,"""And she has had just as much this morning already?"""
HCAndersen,good_for,"""No, it was yesterday,"" replied the boy."
HCAndersen,good_for,"""Two halves make a whole,"" said the mayor."
HCAndersen,good_for,"""She's good for nothing."
HCAndersen,good_for,What a sad thing it is with these people.
HCAndersen,good_for,Tell your mother she ought to be ashamed of herself.
HCAndersen,good_for,"Don't you become a drunkard, but I expect you will though."
HCAndersen,good_for,"Poor child! there, go now."""
HCAndersen,good_for,"The boy went on his way with his cap in his hand, while the wind fluttered his golden hair till the locks stood up straight."
HCAndersen,good_for,"He turned round the corner of the street into the little lane that led to the river, where his mother stood in the water by her washing bench, beating the linen with a heavy wooden bar."
HCAndersen,good_for,"The floodgates at the mill had been drawn up, and as the water rolled rapidly on, the sheets were dragged along by the stream, and nearly overturned the bench, so that the washer-woman was obliged to lean against it to keep it steady."
HCAndersen,good_for,"""I have been very nearly carried away,"" she said; ""it is a good thing that you are come, for I want something to strengthen me."
HCAndersen,good_for,"It is cold in the water, and I have stood here six hours."
HCAndersen,good_for,"Have you brought anything for me?"""
HCAndersen,good_for,"The boy drew the bottle from his pocket, and the mother put it to her lips, and drank a little."
HCAndersen,good_for,"""Ah, how much good that does, and how it warms me,"" she said; ""it is as good as a hot meal, and not so dear."
HCAndersen,good_for,"Drink a little, my boy; you look quite pale; you are shivering in your thin clothes, and autumn has really come."
HCAndersen,good_for,"Oh, how cold the water is!"
HCAndersen,good_for,I hope I shall not be ill.
HCAndersen,good_for,"But no, I must not be afraid of that."
HCAndersen,good_for,"Give me a little more, and you may have a sip too, but only a sip; you must not get used to it, my poor, dear child."""
HCAndersen,good_for,"She stepped up to the bridge on which the boy stood as she spoke, and came on shore."
HCAndersen,good_for,"The water dripped from the straw mat which she had bound round her body, and from her gown."
HCAndersen,good_for,"""I work hard and suffer pain with my poor hands,"" said she, ""but I do it willingly, that I may be able to bring you up honestly and truthfully, my dear boy."""
HCAndersen,good_for,"At the same moment, a woman, rather older than herself, came towards them."
HCAndersen,good_for,"She was a miserable-looking object, lame of one leg, and with a large false curl hanging down over one of her eyes, which was blind."
HCAndersen,good_for,"This curl was intended to conceal the blind eye, but it made the defect only more visible."
HCAndersen,good_for,"She was a friend of the laundress, and was called, among the neighbors, ""Lame Martha, with the curl."""
HCAndersen,good_for,"""Oh, you poor thing; how you do work, standing there in the water!"" she exclaimed."
HCAndersen,good_for,"""You really do need something to give you a little warmth, and yet spiteful people cry out about the few drops you take."""
HCAndersen,good_for,"And then Martha repeated to the laundress, in a very few minutes, all that the mayor had said to her boy, which she had overheard; and she felt very angry that any man could speak, as he had done, of a mother to her own child, about the few drops she had taken; and she was still more angry because, on that very day, the mayor was going to have a dinner-party, at which there would be wine, strong, rich wine, drunk by the bottle."
HCAndersen,good_for,"""Many will take more than they ought, but they don't call that drinking!"
HCAndersen,good_for,"They are all right, you are good for nothing indeed!"" cried Martha indignantly."
HCAndersen,good_for,"""And so he spoke to you in that way, did he, my child?"" said the washer-woman, and her lips trembled as she spoke."
HCAndersen,good_for,"""He says you have a mother who is good for nothing."
HCAndersen,good_for,"Well, perhaps he is right, but he should not have said it to my child."
HCAndersen,good_for,"How much has happened to me from that house!"""
HCAndersen,good_for,"""Yes,"" said Martha; ""I remember you were in service there, and lived in the house when the mayor's parents were alive; how many years ago that is."
HCAndersen,good_for,"Bushels of salt have been eaten since then, and people may well be thirsty,"" and Martha smiled."
HCAndersen,good_for,"""The mayor's great dinner-party to-day ought to have been put off, but the news came too late."
HCAndersen,good_for,"The footman told me the dinner was already cooked, when a letter came to say that the mayor's younger brother in Copenhagen is dead."""
HCAndersen,good_for,"""Dead!"" cried the laundress, turning pale as death."
HCAndersen,good_for,"""Yes, certainly,"" replied Martha; ""but why do you take it so much to heart?"
HCAndersen,good_for,"I suppose you knew him years ago, when you were in service there?"""
HCAndersen,good_for,"""Is he dead?"" she exclaimed."
HCAndersen,good_for,"""Oh, he was such a kind, good-hearted man, there are not many like him,"" and the tears rolled down her cheeks as she spoke."
HCAndersen,good_for,"Then she cried, ""Oh, dear me; I feel quite ill: everything is going round me, I cannot bear it."
HCAndersen,good_for,"Is the bottle empty?"" and she leaned against the plank."
HCAndersen,good_for,"""Dear me, you are ill indeed,"" said the other woman."
HCAndersen,good_for,"""Come, cheer up; perhaps it will pass off."
HCAndersen,good_for,"No, indeed, I see you are really ill; the best thing for me to do is to lead you home."""
HCAndersen,good_for,"""But my washing yonder?"""
HCAndersen,good_for,"""I will take care of that."
HCAndersen,good_for,"Come, give me your arm."
HCAndersen,good_for,"The boy can stay here and take care of the linen, and I'll come back and finish the washing; it is but a trifle."""
HCAndersen,good_for,"The limbs of the laundress shook under her, and she said, ""I have stood too long in the cold water, and I have had nothing to eat the whole day since the morning."
HCAndersen,good_for,"O kind Heaven, help me to get home; I am in a burning fever."
HCAndersen,good_for,"Oh, my poor child,"" and she burst into tears."
HCAndersen,good_for,"And he, poor boy, wept also, as he sat alone by the river, near to and watching the damp linen."
HCAndersen,good_for,The two women walked very slowly.
HCAndersen,good_for,"The laundress slipped and tottered through the lane, and round the corner, into the street where the mayor lived; and just as she reached the front of his house, she sank down upon the pavement."
HCAndersen,good_for,"Many persons came round her, and Lame Martha ran into the house for help."
HCAndersen,good_for,The mayor and his guests came to the window.
HCAndersen,good_for,"""Oh, it is the laundress,"" said he; ""she has had a little drop too much."
HCAndersen,good_for,She is good for nothing.
HCAndersen,good_for,It is a sad thing for her pretty little son.
HCAndersen,good_for,"I like the boy very well; but the mother is good for nothing."""
HCAndersen,good_for,"After a while the laundress recovered herself, and they led her to her poor dwelling, and put her to bed."
HCAndersen,good_for,"Kind Martha warmed a mug of beer for her, with butter and sugar- she considered this the best medicine- and then hastened to the river, washed and rinsed, badly enough, to be sure, but she did her best."
HCAndersen,good_for,"Then she drew the linen ashore, wet as it was, and laid it in a basket."
HCAndersen,good_for,"Before evening, she was sitting in the poor little room with the laundress."
HCAndersen,good_for,The mayor's cook had given her some roasted potatoes and a beautiful piece of fat for the sick woman.
HCAndersen,good_for,"Martha and the boy enjoyed these good things very much; but the sick woman could only say that the smell was very nourishing, she thought."
HCAndersen,good_for,"By-and-by the boy was put to bed, in the same bed as the one in which his mother lay; but he slept at her feet, covered with an old quilt made of blue and white patchwork."
HCAndersen,good_for,The laundress felt a little better by this time.
HCAndersen,good_for,"The warm beer had strengthened her, and the smell of the good food had been pleasant to her."
HCAndersen,good_for,"""Many thanks, you good soul,"" she said to Martha."
HCAndersen,good_for,"""Now the boy is asleep, I will tell you all."
HCAndersen,good_for,He is soon asleep.
HCAndersen,good_for,How gentle and sweet he looks as he lies there with his eyes closed!
HCAndersen,good_for,He does not know how his mother has suffered; and Heaven grant he never may know it.
HCAndersen,good_for,"I was in service at the counsellor's, the father of the mayor, and it happened that the youngest of his sons, the student, came home."
HCAndersen,good_for,"I was a young wild girl then, but honest; that I can declare in the sight of Heaven."
HCAndersen,good_for,"The student was merry and gay, brave and affectionate; every drop of blood in him was good and honorable; a better man never lived on earth."
HCAndersen,good_for,"He was the son of the house, and I was only a maid; but he loved me truly and honorably, and he told his mother of it."
HCAndersen,good_for,She was to him as an angel upon earth; she was so wise and loving.
HCAndersen,good_for,"He went to travel, and before he started he placed a gold ring on my finger; and as soon as he was out of the house, my mistress sent for me."
HCAndersen,good_for,"Gently and earnestly she drew me to her, and spake as if an angel were speaking."
HCAndersen,good_for,"She showed me clearly, in spirit and in truth, the difference there was between him and me."
HCAndersen,good_for,"'He is pleased now,' she said, 'with your pretty face; but good looks do not last long."
HCAndersen,good_for,You have not been educated like he has.
HCAndersen,good_for,"You are not equals in mind and rank, and therein lies the misfortune."
HCAndersen,good_for,"I esteem the poor,' she added."
HCAndersen,good_for,"'In the sight of God, they may occupy a higher place than many of the rich; but here upon earth we must beware of entering upon a false track, lest we are overturned in our plans, like a carriage that travels by a dangerous road."
HCAndersen,good_for,"I know a worthy man, an artisan, who wishes to marry you."
HCAndersen,good_for,"I mean Eric, the glovemaker."
HCAndersen,good_for,"He is a widower, without children, and in a good position."
HCAndersen,good_for,Will you think it over?'
HCAndersen,good_for,"Every word she said pierced my heart like a knife; but I knew she was right, and the thought pressed heavily upon me."
HCAndersen,good_for,"I kissed her hand, and wept bitter tears, and I wept still more when I went to my room, and threw myself on the bed."
HCAndersen,good_for,"I passed through a dreadful night; God knows what I suffered, and how I struggled."
HCAndersen,good_for,The following Sunday I went to the house of God to pray for light to direct my path.
HCAndersen,good_for,It seemed like a providence that as I stepped out of church Eric came towards me; and then there remained not a doubt in my mind.
HCAndersen,good_for,We were suited to each other in rank and circumstances.
HCAndersen,good_for,"He was, even then, a man of good means."
HCAndersen,good_for,"I went up to him, and took his hand, and said, 'Do you still feel the same for me?' 'Yes; ever and always,' said he."
HCAndersen,good_for,"'Will you, then, marry a maiden who honors and esteems you, although she cannot offer you her love? but that may come.' 'Yes, it will come,' said he; and we joined our hands together, and I went home to my mistress."
HCAndersen,good_for,The gold ring which her son had given me I wore next to my heart.
HCAndersen,good_for,"I could not place it on my finger during the daytime, but only in the evening, when I went to bed."
HCAndersen,good_for,"I kissed the ring till my lips almost bled, and then I gave it to my mistress, and told her that the banns were to be put up for me and the glovemaker the following week."
HCAndersen,good_for,"Then my mistress threw her arms round me, and kissed me."
HCAndersen,good_for,"She did not say that I was 'good for nothing;' very likely I was better then than I am now; but the misfortunes of this world, were unknown to me then."
HCAndersen,good_for,"At Michaelmas we were married, and for the first year everything went well with us."
HCAndersen,good_for,"We had a journeyman and an apprentice, and you were our servant, Martha."""
HCAndersen,good_for,"""Ah, yes, and you were a dear, good mistress,"" said Martha, ""I shall never forget how kind you and your husband were to me."""
HCAndersen,good_for,"""Yes, those were happy years when you were with us, although we had no children at first."
HCAndersen,good_for,The student I never met again.
HCAndersen,good_for,"Yet I saw him once, although he did not see me."
HCAndersen,good_for,He came to his mother's funeral.
HCAndersen,good_for,"I saw him, looking pale as death, and deeply troubled, standing at her grave; for she was his mother."
HCAndersen,good_for,"Sometime after, when his father died, he was in foreign lands, and did not come home."
HCAndersen,good_for,"I know that he never married, I believe he became a lawyer."
HCAndersen,good_for,"He had forgotten me, and even had we met he would not have known me, for I have lost all my good looks, and perhaps that is all for the best."""
HCAndersen,good_for,"And then she spoke of the dark days of trial, when misfortune had fallen upon them."
HCAndersen,good_for,"""We had five hundred dollars,"" she said, ""and there was a house in the street to be sold for two hundred, so we thought it would be worth our while to pull it down and build a new one in its place; so it was bought."
HCAndersen,good_for,The builder and carpenter made an estimate that the new house would cost ten hundred and twenty dollars to build.
