author,story,text
HCAndersen,old_grav,"IN a house, with a large courtyard, in a provincial town, at that time of the year in which people say the evenings are growing longer, a family circle were gathered together at their old home."
HCAndersen,old_grav,"A lamp burned on the table, although the weather was mild and warm, and the long curtains hung down before the open windows, and without the moon shone brightly in the dark-blue sky."
HCAndersen,old_grav,"But they were not talking of the moon, but of a large, old stone that lay below in the courtyard not very far from the kitchen door."
HCAndersen,old_grav,"The maids often laid the clean copper saucepans and kitchen vessels on this stone, that they might dry in the sun, and the children were fond of playing on it."
HCAndersen,old_grav,"It was, in fact, an old grave-stone."
HCAndersen,old_grav,"""Yes,"" said the master of the house, ""I believe the stone came from the graveyard of the old church of the convent which was pulled down, and the pulpit, the monuments, and the grave-stones sold."
HCAndersen,old_grav,"My father bought the latter; most of them were cut in two and used for paving-stones, but that one stone was preserved whole, and laid in the courtyard."""
HCAndersen,old_grav,"""Any one can see that it is a grave-stone,"" said the eldest of the children; ""the representation of an hour-glass and part of the figure of an angel can still be traced, but the inscription beneath is quite worn out, excepting the name 'Preben,' and a large 'S' close by it, and a little farther down the name of 'Martha' can be easily read."
HCAndersen,old_grav,"But nothing more, and even that cannot be seen unless it has been raining, or when we have washed the stone."""
HCAndersen,old_grav,"""Dear me! how singular."
HCAndersen,old_grav,"Why that must be the grave-stone of Preben Schwane and his wife."""
HCAndersen,old_grav,The old man who said this looked old enough to be the grandfather of all present in the room.
HCAndersen,old_grav,"""Yes,"" he continued, ""these people were among the last who were buried in the churchyard of the old convent."
HCAndersen,old_grav,"They were a very worthy old couple, I can remember them well in the days of my boyhood."
HCAndersen,old_grav,"Every one knew them, and they were esteemed by all."
HCAndersen,old_grav,"They were the oldest residents in the town, and people said they possessed a ton of gold, yet they were always very plainly dressed, in the coarsest stuff, but with linen of the purest whiteness."
HCAndersen,old_grav,"Preben and Martha were a fine old couple, and when they both sat on the bench, at the top of the steep stone steps, in front of their house, with the branches of the linden-tree waving above them, and nodded in a gentle, friendly way to passers by, it really made one feel quite happy."
HCAndersen,old_grav,"They were very good to the poor; they fed them and clothed them, and in their benevolence there was judgment as well as true Christianity."
HCAndersen,old_grav,The old woman died first; that day is still quite vividly before my eyes.
HCAndersen,old_grav,"I was a little boy, and had accompanied my father to the old man's house."
HCAndersen,old_grav,Martha had fallen into the sleep of death just as we arrived there.
HCAndersen,old_grav,"The corpse lay in a bedroom, near to the one in which we sat, and the old man was in great distress and weeping like a child."
HCAndersen,old_grav,"He spoke to my father, and to a few neighbors who were there, of how lonely he should feel now she was gone, and how good and true she, his dead wife, had been during the number of years that they had passed through life together, and how they had become acquainted, and learnt to love each other."
HCAndersen,old_grav,"I was, as I have said, a boy, and only stood by and listened to what the others said; but it filled me with a strange emotion to listen to the old man, and to watch how the color rose in his cheeks as he spoke of the days of their courtship, of how beautiful she was, and how many little tricks he had been guilty of, that he might meet her."
