author,story,text
Potter,the_roly-poly_pudding,"Once upon a time there was an old cat, called Mrs. Tabitha Twitchit, who was an anxious parent."
Potter,the_roly-poly_pudding,"She used to lose her kittens continually, and whenever they were lost they were always in mischief!"
Potter,the_roly-poly_pudding,On baking day she determined to shut them up in a cupboard.
Potter,the_roly-poly_pudding,"She caught Moppet and Mittens, but she could not find Tom."
Potter,the_roly-poly_pudding,"Mrs. Tabitha went up and down all over the house, mewing for Tom Kitten."
Potter,the_roly-poly_pudding,"She looked in the pantry under the staircase, and she searched the best spare bedroom that was all covered up with dust sheets."
Potter,the_roly-poly_pudding,"She went right upstairs and looked into the attics, but she could not find him anywhere."
Potter,the_roly-poly_pudding,"It was an old, old house, full of cupboards and passages."
Potter,the_roly-poly_pudding,"Some of the walls were four feet thick, and there used to be queer noises inside them, as if there might be a little secret staircase."
Potter,the_roly-poly_pudding,"Certainly there were odd little jagged doorways in the wainscot, and things disappeared at night-- especially cheese and bacon."
Potter,the_roly-poly_pudding,Mrs. Tabitha became more and more distracted and mewed dreadfully.
Potter,the_roly-poly_pudding,"While their mother was searching the house, Moppet and Mittens had got into mischief."
Potter,the_roly-poly_pudding,"The cupboard door was not locked, so they pushed it open and came out."
Potter,the_roly-poly_pudding,They went straight to the dough which was set to rise in a pan before the fire.
Potter,the_roly-poly_pudding,"They patted it with their little soft paws--""Shall we make dear little muffins?"" said Mittens to Moppet."
Potter,the_roly-poly_pudding,"But just at that moment somebody knocked at the front door, and Moppet jumped into the flour barrel in a fright."
Potter,the_roly-poly_pudding,Mittens ran away to the dairy and hid in an empty jar on the stone shelf where the milk pans stand.
Potter,the_roly-poly_pudding,"The visitor was a neighbor, Mrs. Ribby; she had called to borrow some yeast."
Potter,the_roly-poly_pudding,"Mr. Tabitha came downstairs mewing dreadfully--""Come in, Cousin Ribby, come in, and sit ye down!"
Potter,the_roly-poly_pudding,"I'm in sad trouble, Cousin Ribby,"" said Tabitha, shedding tears."
Potter,the_roly-poly_pudding,"""I've lost my dear son Thomas; I'm afraid the rats have got him."""
Potter,the_roly-poly_pudding,She wiped her eyes with her apron.
Potter,the_roly-poly_pudding,"""He's a bad kitten, Cousin Tabitha; he made a cat's cradle of my best bonnet last time I came to tea."
Potter,the_roly-poly_pudding,"Where have you looked for him?"""
Potter,the_roly-poly_pudding,"""All over the house!"
Potter,the_roly-poly_pudding,The rats are too many for me.
Potter,the_roly-poly_pudding,"What a thing it is to have an unruly family!"" said Mrs. Tabitha Twitchit."
Potter,the_roly-poly_pudding,"""I'm not afraid of rats; I will help you to find him; and whip him, too!"
Potter,the_roly-poly_pudding,"What is all that soot in the fender?"""
