author,story,text
HCAndersen,li_ida_f,"""My poor flowers are quite dead,"" said little Ida, ""they were so pretty yesterday evening, and now all the leaves are hanging down quite withered."
HCAndersen,li_ida_f,"What do they do that for,"" she asked, of the student who sat on the sofa; she liked him very much, he could tell the most amusing stories, and cut out the prettiest pictures; hearts, and ladies dancing, castles with doors that opened, as well as flowers; he was a delightful student."
HCAndersen,li_ida_f,"""Why do the flowers look so faded to-day?"" she asked again, and pointed to her nosegay, which was quite withered."
HCAndersen,li_ida_f,"""Don't you know what is the matter with them?"" said the student."
HCAndersen,li_ida_f,"""The flowers were at a ball last night, and therefore, it is no wonder they hang their heads."""
HCAndersen,li_ida_f,"""But flowers cannot dance?"" cried little Ida."
HCAndersen,li_ida_f,"""Yes indeed, they can,"" replied the student."
HCAndersen,li_ida_f,"""When it grows dark, and everybody is asleep, they jump about quite merrily."
HCAndersen,li_ida_f,"They have a ball almost every night."""
HCAndersen,li_ida_f,"""Can children go to these balls?"""
HCAndersen,li_ida_f,"""Yes,"" said the student, ""little daisies and lilies of the valley."""
HCAndersen,li_ida_f,"""Where do the beautiful flowers dance?"" asked little Ida."
HCAndersen,li_ida_f,"""Have you not often seen the large castle outside the gates of the town, where the king lives in summer, and where the beautiful garden is full of flowers?"
HCAndersen,li_ida_f,And have you not fed the swans with bread when they swam towards you?
HCAndersen,li_ida_f,"Well, the flowers have capital balls there, believe me."""
HCAndersen,li_ida_f,"""I was in the garden out there yesterday with my mother,"" said Ida, ""but all the leaves were off the trees, and there was not a single flower left."
HCAndersen,li_ida_f,Where are they?
HCAndersen,li_ida_f,"I used to see so many in the summer."""
HCAndersen,li_ida_f,"""They are in the castle,"" replied the student."
HCAndersen,li_ida_f,"""You must know that as soon as the king and all the court are gone into the town, the flowers run out of the garden into the castle, and you should see how merry they are."
HCAndersen,li_ida_f,"The two most beautiful roses seat themselves on the throne, and are called the king and queen, then all the red cockscombs range themselves on each side, and bow, these are the lords-in-waiting."
HCAndersen,li_ida_f,"After that the pretty flowers come in, and there is a grand ball."
HCAndersen,li_ida_f,"The blue violets represent little naval cadets, and dance with hyacinths and crocuses which they call young ladies."
HCAndersen,li_ida_f,"The tulips and tiger-lilies are the old ladies who sit and watch the dancing, so that everything may be conducted with order and propriety."""
HCAndersen,li_ida_f,"""But,"" said little Ida, ""is there no one there to hurt the flowers for dancing in the king's castle?"""
HCAndersen,li_ida_f,"""No one knows anything about it,"" said the student."
HCAndersen,li_ida_f,"""The old steward of the castle, who has to watch there at night, sometimes comes in; but he carries a great bunch of keys, and as soon as the flowers hear the keys rattle, they run and hide themselves behind the long curtains, and stand quite still, just peeping their heads out."
HCAndersen,li_ida_f,"Then the old steward says, 'I smell flowers here,' but he cannot see them."""
HCAndersen,li_ida_f,"""Oh how capital,"" said little Ida, clapping her hands."
HCAndersen,li_ida_f,"""Should I be able to see these flowers?"""
HCAndersen,li_ida_f,"""Yes,"" said the student, ""mind you think of it the next time you go out, no doubt you will see them, if you peep through the window."
HCAndersen,li_ida_f,"I did so to-day, and I saw a long yellow lily lying stretched out on the sofa."
HCAndersen,li_ida_f,"She was a court lady."""
HCAndersen,li_ida_f,"""Can the flowers from the Botanical Gardens go to these balls?"" asked Ida."
HCAndersen,li_ida_f,"""It is such a distance!"""
HCAndersen,li_ida_f,"""Oh yes,"" said the student 'whenever they like, for they can fly."
HCAndersen,li_ida_f,"Have you not seen those beautiful red, white. and yellow butterflies, that look like flowers?"
HCAndersen,li_ida_f,They were flowers once.
HCAndersen,li_ida_f,"They have flown off their stalks into the air, and flap their leaves as if they were little wings to make them fly."
HCAndersen,li_ida_f,"Then, if they behave well, they obtain permission to fly about during the day, instead of being obliged to sit still on their stems at home, and so in time their leaves become real wings."
HCAndersen,li_ida_f,"It may be, however, that the flowers in the Botanical Gardens have never been to the king's palace, and, therefore, they know nothing of the merry doings at night, which take place there."
HCAndersen,li_ida_f,"I will tell you what to do, and the botanical professor, who lives close by here, will be so surprised."
HCAndersen,li_ida_f,"You know him very well, do you not?"
