author,story,text
HCAndersen,old_hous,A VERY old house stood once in a street with several that were quite new and clean.
HCAndersen,old_hous,"The date of its erection had been carved on one of the beams, and surrounded by scrolls formed of tulips and hop-tendrils; by this date it could be seen that the old house was nearly three hundred years old."
HCAndersen,old_hous,"Verses too were written over the windows in old-fashioned letters, and grotesque faces, curiously carved, grinned at you from under the cornices."
HCAndersen,old_hous,"One story projected a long way over the other, and under the roof ran a leaden gutter, with a dragon's head at the end."
HCAndersen,old_hous,"The rain was intended to pour out at the dragon's mouth, but it ran out of his body instead, for there was a hole in the gutter."
HCAndersen,old_hous,"The other houses in the street were new and well built, with large window panes and smooth walls."
HCAndersen,old_hous,Any one could see they had nothing to do with the old house.
HCAndersen,old_hous,"Perhaps they thought, ""How long will that heap of rubbish remain here to be a disgrace to the whole street."
HCAndersen,old_hous,The parapet projects so far forward that no one can see out of our windows what is going on in that direction.
HCAndersen,old_hous,"The stairs are as broad as the staircase of a castle, and as steep as if they led to a church-tower."
HCAndersen,old_hous,"The iron railing looks like the gate of a cemetery, and there are brass knobs upon it."
HCAndersen,old_hous,"It is really too ridiculous."""
HCAndersen,old_hous,"Opposite to the old house were more nice new houses, which had just the same opinion as their neighbors."
HCAndersen,old_hous,"At the window of one of them sat a little boy with fresh rosy cheeks, and clear sparkling eyes, who was very fond of the old house, in sunshine or in moonlight."
HCAndersen,old_hous,"He would sit and look at the wall from which the plaster had in some places fallen off, and fancy all sorts of scenes which had been in former times."
HCAndersen,old_hous,"How the street must have looked when the houses had all gable roofs, open staircases, and gutters with dragons at the spout."
HCAndersen,old_hous,He could even see soldiers walking about with halberds.
HCAndersen,old_hous,Certainly it was a very good house to look at for amusement.
HCAndersen,old_hous,"An old man lived in it, who wore knee-breeches, a coat with large brass buttons, and a wig, which any one could see was a real wig."
HCAndersen,old_hous,"Every morning an old man came to clean the rooms, and to wait upon him, otherwise the old man in the knee-breeches would have been quite alone in the house."
HCAndersen,old_hous,"Sometimes he came to one of the windows and looked out; then the little boy nodded to him, and the old man nodded back again, till they became acquainted, and were friends, although they had never spoken to each other; but that was of no consequence."
HCAndersen,old_hous,"The little boy one day heard his parents say, ""The old man opposite is very well off, but is terribly lonely."""
HCAndersen,old_hous,"The next Sunday morning the little boy wrapped something in a piece of paper and took it to the door of the old house, and said to the attendant who waited upon the old man, ""Will you please give this from me to the gentleman who lives here; I have two tin soldiers, and this is one of them, and he shall have it, because I know he is terribly lonely."""
HCAndersen,old_hous,"And the old attendant nodded and looked very pleased, and then he carried the tin soldier into the house."
HCAndersen,old_hous,Afterwards he was sent over to ask the little boy if he would not like to pay a visit himself.
HCAndersen,old_hous,"His parents gave him permission, and so it was that he gained admission to the old house."
HCAndersen,old_hous,"The brassy knobs on the railings shone more brightly than ever, as if they had been polished on account of his visit; and on the door were carved trumpeters standing in tulips, and it seemed as if they were blowing with all their might, their cheeks were so puffed out."
HCAndersen,old_hous,"""Tanta-ra-ra, the little boy is coming; Tanta-ra-ra, the little boy is coming."""
HCAndersen,old_hous,Then the door opened.
HCAndersen,old_hous,"All round the hall hung old portraits of knights in armor, and ladies in silk gowns; and the armor rattled, and the silk dresses rustled."
HCAndersen,old_hous,"Then came a staircase which went up a long way, and then came down a little way and led to a balcony, which was in a very ruinous state."
HCAndersen,old_hous,"There were large holes and long cracks, out of which grew grass and leaves, indeed the whole balcony, the courtyard, and the walls were so overgrown with green that they looked like a garden."
HCAndersen,old_hous,"In the balcony stood flower-pots, on which were heads having asses' ears, but the flowers in them grew just as they pleased."
HCAndersen,old_hous,"In one pot pinks were growing all over the sides, at least the green leaves were shooting forth stalk and stem, and saying as plainly as they could speak, ""The air has fanned me, the sun has kissed me, and I am promised a little flower for next Sunday- really for next Sunday."""
HCAndersen,old_hous,"Then they entered a room in which the walls were covered with leather, and the leather had golden flowers stamped upon it."
HCAndersen,old_hous,"""Gilding will fade in damp weather, To endure, there is nothing like leather,"""
HCAndersen,old_hous,said the walls.
HCAndersen,old_hous,"Chairs handsomely carved, with elbows on each side, and with very high backs, stood in the room, and as they creaked they seemed to say, ""Sit down."
HCAndersen,old_hous,"Oh dear, how I am creaking."
HCAndersen,old_hous,I shall certainly have the gout like the old cupboard.
HCAndersen,old_hous,"Gout in my back, ugh."""
HCAndersen,old_hous,And then the little boy entered the room where the old man sat.
HCAndersen,old_hous,"""Thank you for the tin soldier my little friend,"" said the old man, ""and thank you also for coming to see me."""
HCAndersen,old_hous,"""Thanks, thanks,"" or ""Creak, creak,"" said all the furniture."
HCAndersen,old_hous,There was so much that the pieces of furniture stood in each other's way to get a sight of the little boy.
HCAndersen,old_hous,"On the wall near the centre of the room hung the picture of a beautiful lady, young and gay, dressed in the fashion of the olden times, with powdered hair, and a full, stiff skirt."
HCAndersen,old_hous,"She said neither ""thanks"" nor ""creak,"" but she looked down upon the little boy with her mild eyes; and then he said to the old man, ""Where did you get that picture?"""
HCAndersen,old_hous,"""From the shop opposite,"" he replied."
HCAndersen,old_hous,"""Many portraits hang there that none seem to trouble themselves about."
HCAndersen,old_hous,The persons they represent have been dead and buried long since.
HCAndersen,old_hous,"But I knew this lady many years ago, and she has been dead nearly half a century."""
HCAndersen,old_hous,"Under a glass beneath the picture hung a nosegay of withered flowers, which were no doubt half a century old too, at least they appeared so."
HCAndersen,old_hous,"And the pendulum of the old clock went to and fro, and the hands turned round; and as time passed on, everything in the room grew older, but no one seemed to notice it."
HCAndersen,old_hous,"""They say at home,"" said the little boy, ""that you are very lonely."""
HCAndersen,old_hous,"""Oh,"" replied the old man, ""I have pleasant thoughts of all that has passed, recalled by memory; and now you are come to visit me, and that is very pleasant."""
HCAndersen,old_hous,"Then he took from the book-case, a book full of pictures representing long processions of wonderful coaches, such as are never seen at the present time."
HCAndersen,old_hous,"Soldiers like the knave of clubs, and citizens with waving banners."
HCAndersen,old_hous,"The tailors had a flag with a pair of scissors supported by two lions, and on the shoemakers' flag there were not boots, but an eagle with two heads, for the shoemakers must have everything arranged so that they can say, ""This is a pair."""
HCAndersen,old_hous,What a picture-book it was; and then the old man went into another room to fetch apples and nuts.
