author,story,text
Grimms,iron_hans,"There was once upon a time a king who had a great forest near his palace, full of all kinds of wild animals."
Grimms,iron_hans,"One day he sent out a huntsman to shoot him a roe, but he did not come back."
Grimms,iron_hans,"""Perhaps some accident has befallen him,"" said the king, and the next day he sent out two more huntsmen who were to search for him, but they too stayed away."
Grimms,iron_hans,"Then on the third day, he sent for all his huntsmen, and said: ""Scour the whole forest through, and do not give up until you have found all three."""
Grimms,iron_hans,"But of these also, none came home again, none were seen again."
Grimms,iron_hans,"From that time forth, no one would any longer venture into the forest, and it lay there in deep stillness and solitude, and nothing was seen of it, but sometimes an eagle or a hawk flying over it."
Grimms,iron_hans,"This lasted for many years, when an unknown huntsman announced himself to the king as seeking a situation, and offered to go into the dangerous forest."
Grimms,iron_hans,"The king, however, would not give his consent, and said: ""It is not safe in there; I fear it would fare with you no better than with the others, and you would never come out again."""
Grimms,iron_hans,"The huntsman replied: ""Lord, I will venture it at my own risk, of fear I know nothing."""
Grimms,iron_hans,The huntsman therefore betook himself with his dog to the forest.
Grimms,iron_hans,"It was not long before the dog fell in with some game on the way, and wanted to pursue it; but hardly had the dog run two steps when it stood before a deep pool, could go no farther, and a naked arm stretched itself out of the water, seized it, and drew it under."
Grimms,iron_hans,"When the huntsman saw that, he went back and fetched three men to come with buckets and bale out the water."
Grimms,iron_hans,"When they could see to the bottom there lay a wild man whose body was brown like rusty iron, and whose hair hung over his face down to his knees."
Grimms,iron_hans,"They bound him with cords, and led him away to the castle."
Grimms,iron_hans,"There was great astonishment over the wild man; the king, however, had him put in an iron cage in his courtyard, and forbade the door to be opened on pain of death, and the queen herself was to take the key into her keeping."
Grimms,iron_hans,And from this time forth everyone could again go into the forest with safety.
Grimms,iron_hans,"The king had a son of eight years, who was once playing in the courtyard, and while he was playing, his golden ball fell into the cage."
Grimms,iron_hans,"The boy ran thither and said: ""Give me my ball out."""
Grimms,iron_hans,"""Not till you have opened the door for me,"" answered the man."
Grimms,iron_hans,"""No,"" said the boy, ""I will not do that; the king has forbidden it,"" and ran away."
Grimms,iron_hans,"The next day he again went and asked for his ball; the wild man said: ""Open my door,"" but the boy would not."
Grimms,iron_hans,"On the third day the king had ridden out hunting, and the boy went once more and said: ""I cannot open the door even if I wished, for I have not the key."""
Grimms,iron_hans,"Then the wild man said: ""It lies under your mother""s pillow, you can get it there."""
Grimms,iron_hans,"The boy, who wanted to have his ball back, cast all thought to the winds, and brought the key."
Grimms,iron_hans,"The door opened with difficulty, and the boy pinched his fingers."
Grimms,iron_hans,"When it was open the wild man stepped out, gave him the golden ball, and hurried away."
Grimms,iron_hans,"The boy had become afraid; he called and cried after him: ""Oh, wild man, do not go away, or I shall be beaten!"""
Grimms,iron_hans,"The wild man turned back, took him up, set him on his shoulder, and went with hasty steps into the forest."
Grimms,iron_hans,"When the king came home, he observed the empty cage, and asked the queen how that had happened."
Grimms,iron_hans,"She knew nothing about it, and sought the key, but it was gone."
Grimms,iron_hans,"She called the boy, but no one answered."
Grimms,iron_hans,"The king sent out people to seek for him in the fields, but they did not find him."
Grimms,iron_hans,"Then he could easily guess what had happened, and much grief reigned in the royal court."
Grimms,iron_hans,"When the wild man had once more reached the dark forest, he took the boy down from his shoulder, and said to him: ""You will never see your father and mother again, but I will keep you with me, for you have set me free, and I have compassion on you."
Grimms,iron_hans,"If you do all I bid you, you shall fare well."
Grimms,iron_hans,"Of treasure and gold have I enough, and more than anyone in the world."""
Grimms,iron_hans,"He made a bed of moss for the boy on which he slept, and the next morning the man took him to a well, and said: ""Behold, the gold well is as bright and clear as crystal, you shall sit beside it, and take care that nothing falls into it, or it will be polluted."
Grimms,iron_hans,"I will come every evening to see if you have obeyed my order."""
Grimms,iron_hans,"The boy placed himself by the brink of the well, and often saw a golden fish or a golden snake show itself therein, and took care that nothing fell in."
Grimms,iron_hans,"As he was thus sitting, his finger hurt him so violently that he involuntarily put it in the water."
Grimms,iron_hans,"He drew it quickly out again, but saw that it was quite gilded, and whatsoever pains he took to wash the gold off again, all was to no purpose."
Grimms,iron_hans,"In the evening Iron Hans came back, looked at the boy, and said: ""What has happened to the well?"""
Grimms,iron_hans,"""Nothing nothing,"" he answered, and held his finger behind his back, that the man might not see it."
Grimms,iron_hans,"But he said: ""You have dipped your finger into the water, this time it may pass, but take care you do not again let anything go in."""
Grimms,iron_hans,By daybreak the boy was already sitting by the well and watching it.
Grimms,iron_hans,"His finger hurt him again and he passed it over his head, and then unhappily a hair fell down into the well."
Grimms,iron_hans,"He took it quickly out, but it was already quite gilded."
Grimms,iron_hans,"Iron Hans came, and already knew what had happened."
Grimms,iron_hans,"""You have let a hair fall into the well,"" said he."
Grimms,iron_hans,"""I will allow you to watch by it once more, but if this happens for the third time then the well is polluted and you can no longer remain with me."""
Grimms,iron_hans,"On the third day, the boy sat by the well, and did not stir his finger, however much it hurt him."
Grimms,iron_hans,"But the time was long to him, and he looked at the reflection of his face on the surface of the water."
Grimms,iron_hans,"And as he still bent down more and more while he was doing so, and trying to look straight into the eyes, his long hair fell down from his shoulders into the water."
Grimms,iron_hans,"He raised himself up quickly, but the whole of the hair of his head was already golden and shone like the sun."
Grimms,iron_hans,You can imagine how terrified the poor boy was!
Grimms,iron_hans,"He took his pockethandkerchief and tied it round his head, in order that the man might not see it."
Grimms,iron_hans,"When he came he already knew everything, and said: ""Take the handkerchief off."""
Grimms,iron_hans,"Then the golden hair streamed forth, and let the boy excuse himself as he might, it was of no use."
Grimms,iron_hans,"""You have not stood the trial and can stay here no longer."
Grimms,iron_hans,"Go forth into the world, there you will learn what poverty is."
Grimms,iron_hans,"But as you have not a bad heart, and as I mean well by you, there is one thing I will grant you; if you fall into any difficulty, come to the forest and cry: ""Iron Hans,"" and then I will come and help you."
Grimms,iron_hans,"My power is great, greater than you think, and I have gold and silver in abundance."""
Grimms,iron_hans,"Then the king""s son left the forest, and walked by beaten and unbeaten paths ever onwards until at length he reached a great city."
Grimms,iron_hans,"There he looked for work, but could find none, and he learnt nothing by which he could help himself."
Grimms,iron_hans,"At length he went to the palace, and asked if they would take him in."
Grimms,iron_hans,"The people about court did not at all know what use they could make of him, but they liked him, and told him to stay."
Grimms,iron_hans,"At length the cook took him into his service, and said he might carry wood and water, and rake the cinders together."
Grimms,iron_hans,"Once when it so happened that no one else was at hand, the cook ordered him to carry the food to the royal table, but as he did not like to let his golden hair be seen, he kept his little cap on."
Grimms,iron_hans,"Such a thing as that had never yet come under the king""s notice, and he said: ""When you come to the royal table you must take your hat off."""
Grimms,iron_hans,"He answered: ""Ah, Lord, I cannot; I have a bad sore place on my head."""
Grimms,iron_hans,"Then the king had the cook called before him and scolded him, and asked how he could take such a boy as that into his service; and that he was to send him away at once."
Grimms,iron_hans,"The cook, however, had pity on him, and exchanged him for the gardener""s boy."
Grimms,iron_hans,"And now the boy had to plant and water the garden, hoe and dig, and bear the wind and bad weather."
Grimms,iron_hans,"Once in summer when he was working alone in the garden, the day was so warm he took his little cap off that the air might cool him."
Grimms,iron_hans,"As the sun shone on his hair it glittered and flashed so that the rays fell into the bedroom of the king""s daughter, and up she sprang to see what that could be."
Grimms,iron_hans,"Then she saw the boy, and cried to him: ""Boy, bring me a wreath of flowers."""
Grimms,iron_hans,"He put his cap on with all haste, and gathered wild field-flowers and bound them together."
Grimms,iron_hans,"When he was ascending the stairs with them, the gardener met him, and said: ""How can you take the king""s daughter a garland of such common flowers?"
Grimms,iron_hans,"Go quickly, and get another, and seek out the prettiest and rarest."""
Grimms,iron_hans,"""Oh, no,"" replied the boy, ""the wild ones have more scent, and will please her better."""
Grimms,iron_hans,"When he got into the room, the king""s daughter said: ""Take your cap off, it is not seemly to keep it on in my presence."""
Grimms,iron_hans,"He again said: ""I may not, I have a sore head."""
Grimms,iron_hans,"She, however, caught at his cap and pulled it off, and then his golden hair rolled down on his shoulders, and it was splendid to behold."
Grimms,iron_hans,"He wanted to run out, but she held him by the arm, and gave him a handful of ducats."
Grimms,iron_hans,"With these he departed, but he cared nothing for the gold pieces."
Grimms,iron_hans,"He took them to the gardener, and said: ""I present them to your children, they can play with them."""
Grimms,iron_hans,"The following day the king""s daughter again called to him that he was to bring her a wreath of field-flowers, and then he went in with it, she instantly snatched at his cap, and wanted to take it away from him, but he held it fast with both hands."
Grimms,iron_hans,"She again gave him a handful of ducats, but he would not keep them, and gave them to the gardener for playthings for his children."
Grimms,iron_hans,"On the third day things went just the same; she could not get his cap away from him, and he would not have her money."
Grimms,iron_hans,"Not long afterwards, the country was overrun by war."
Grimms,iron_hans,"The king gathered together his people, and did not know whether or not he could offer any opposition to the enemy, who was superior in strength and had a mighty army."
Grimms,iron_hans,"Then said the gardener""s boy: ""I am grown up, and will go to the wars also, only give me a horse."""
Grimms,iron_hans,"The others laughed, and said: ""Seek one for yourself when we are gone, we will leave one behind us in the stable for you."""
Grimms,iron_hans,"When they had gone forth, he went into the stable, and led the horse out; it was lame of one foot, and limped hobblety jib, hobblety jib; nevertheless he mounted it, and rode away to the dark forest."
Grimms,iron_hans,"When he came to the outskirts, he called ""Iron Hans"" three times so loudly that it echoed through the trees."
Grimms,iron_hans,"Thereupon the wild man appeared immediately, and said: ""What do you desire?"""
Grimms,iron_hans,"""I want a strong steed, for I am going to the wars."""
Grimms,iron_hans,"""That you shall have, and still more than you ask for."""
Grimms,iron_hans,"Then the wild man went back into the forest, and it was not long before a stable-boy came out of it, who led a horse that snorted with its nostrils, and could hardly be restrained, and behind them followed a great troop of warriors entirely equipped in iron, and their swords flashed in the sun."
Grimms,iron_hans,"The youth made over his three-legged horse to the stable-boy, mounted the other, and rode at the head of the soldiers."
Grimms,iron_hans,"When he got near the battlefield a great part of the king""s men had already fallen, and little was wanting to make the rest give way."
Grimms,iron_hans,"Then the youth galloped thither with his iron soldiers, broke like a hurricane over the enemy, and beat down all who opposed him."
Grimms,iron_hans,"They began to flee, but the youth pursued, and never stopped, until there was not a single man left."
Grimms,iron_hans,"Instead of returning to the king, however, he conducted his troop by byways back to the forest, and called forth Iron Hans."
Grimms,iron_hans,"""What do you desire?"" asked the wild man."
Grimms,iron_hans,"""Take back your horse and your troops, and give me my three-legged horse again."""
Grimms,iron_hans,"All that he asked was done, and soon he was riding on his three-legged horse."
Grimms,iron_hans,"When the king returned to his palace, his daughter went to meet him, and wished him joy of his victory."
Grimms,iron_hans,"""I am not the one who carried away the victory,"" said he, ""but a strange knight who came to my assistance with his soldiers."""
Grimms,iron_hans,"The daughter wanted to hear who the strange knight was, but the king did not know, and said: ""He followed the enemy, and I did not see him again."""
Grimms,iron_hans,"She inquired of the gardener where his boy was, but he smiled, and said: ""He has just come home on his threelegged horse, and the others have been mocking him, and crying: ""Here comes our hobblety jib back again!"""
Grimms,iron_hans,"They asked, too: ""Under what hedge have you been lying sleeping all the time?"""
Grimms,iron_hans,"So he said: ""I did the best of all, and it would have gone badly without me."""
Grimms,iron_hans,"And then he was still more ridiculed."""
Grimms,iron_hans,"The king said to his daughter: ""I will proclaim a great feast that shall last for three days, and you shall throw a golden apple."
Grimms,iron_hans,"Perhaps the unknown man will show himself."""
Grimms,iron_hans,"When the feast was announced, the youth went out to the forest, and called Iron Hans."
Grimms,iron_hans,"""What do you desire?"" asked he."
Grimms,iron_hans,"""That I may catch the king""s daughter""s golden apple."""
Grimms,iron_hans,"""It is as safe as if you had it already,"" said Iron Hans."
Grimms,iron_hans,"""You shall likewise have a suit of red armour for the occasion, and ride on a spirited chestnut-horse."""
Grimms,iron_hans,"When the day came, the youth galloped to the spot, took his place amongst the knights, and was recognized by no one."
Grimms,iron_hans,"The king""s daughter came forward, and threw a golden apple to the knights, but none of them caught it but he, only as soon as he had it he galloped away."
Grimms,iron_hans,"On the second day Iron Hans equipped him as a white knight, and gave him a white horse."
Grimms,iron_hans,"Again he was the only one who caught the apple, and he did not linger an instant, but galloped off with it."
Grimms,iron_hans,"The king grew angry, and said: ""That is not allowed; he must appear before me and tell his name."""
Grimms,iron_hans,"He gave the order that if the knight who caught the apple, should go away again they should pursue him, and if he would not come back willingly, they were to cut him down and stab him."
Grimms,iron_hans,"On the third day, he received from Iron Hans a suit of black armour and a black horse, and again he caught the apple."
Grimms,iron_hans,"But when he was riding off with it, the king""s attendants pursued him, and one of them got so near him that he wounded the youth""s leg with the point of his sword."
Grimms,iron_hans,"The youth nevertheless escaped from them, but his horse leapt so violently that the helmet fell from the youth""s head, and they could see that he had golden hair."
Grimms,iron_hans,They rode back and announced this to the king.
Grimms,iron_hans,"The following day the king""s daughter asked the gardener about his boy."
Grimms,iron_hans,"""He is at work in the garden; the queer creature has been at the festival too, and only came home yesterday evening; he has likewise shown my children three golden apples which he has won."""
Grimms,iron_hans,"The king had him summoned into his presence, and he came and again had his little cap on his head."
Grimms,iron_hans,"But the king""s daughter went up to him and took it off, and then his golden hair fell down over his shoulders, and he was so handsome that all were amazed."
