author,story,text
Grimms,49_the_six_swans,"Once upon a time, a certain King was hunting in a great forest, and he chased a wild beast so eagerly that none of his attendants could follow him."
Grimms,49_the_six_swans,"When evening drew near he stopped and looked around him, and then he saw that he had lost his way."
Grimms,49_the_six_swans,"He sought a way out, but could find none."
Grimms,49_the_six_swans,"Then he perceived an aged woman with a head which nodded perpetually, who came towards him, but she was a witch."
Grimms,49_the_six_swans,"""Good woman,"" said he to her, ""Can you not show me the way through the forest?"""
Grimms,49_the_six_swans,"""Oh, yes, Lord King,"" she answered, ""that I certainly can, but on one condition, and if you do not fulfil that, you will never get out of the forest, and will die of hunger in it."""
Grimms,49_the_six_swans,"""What kind of condition is it?"" asked the King."
Grimms,49_the_six_swans,"""I have a daughter,"" said the old woman, ""who is as beautiful as any one in the world, and well deserves to be your consort, and if you will make her your Queen, I will show you the way out of the forest."""
Grimms,49_the_six_swans,"In the anguish of his heart the King consented, and the old woman led him to her little hut, where her daughter was sitting by the fire."
Grimms,49_the_six_swans,"She received the King as if she had been expecting him, and he saw that she was very beautiful, but still she did not please him, and he could not look at her without secret horror."
Grimms,49_the_six_swans,"After he had taken the maiden up on his horse, the old woman showed him the way, and the King reached his royal palace again, where the wedding was celebrated."
Grimms,49_the_six_swans,"The King had already been married once, and had by his first wife, seven children, six boys and a girl, whom he loved better than anything else in the world."
Grimms,49_the_six_swans,"As he now feared that the step-mother might not treat them well, and even do them some injury, he took them to a lonely castle which stood in the midst of a forest."
Grimms,49_the_six_swans,"It lay so concealed, and the way was so difficult to find that he himself would not have found it, if a wise woman had not given him a ball of yarn with wonderful properties."
Grimms,49_the_six_swans,"When he threw it down before him, it unrolled itself and showed him his path."
Grimms,49_the_six_swans,"The King, however, went so frequently away to his dear children that the Queen observed his absence; she was curious and wanted to know what he did when he was quite alone in the forest."
Grimms,49_the_six_swans,"She gave a great deal of money to his servants, and they betrayed the secret to her, and told her likewise of the ball which alone could point out the way."
Grimms,49_the_six_swans,"And now she knew no rest until she had learnt where the King kept the ball of yarn, and then she made little shirts of white silk, and as she had learnt the art of witchcraft from her mother, she sewed a charm inside them."
Grimms,49_the_six_swans,"And once when the King had ridden forth to hunt, she took the little shirts and went into the forest, and the ball showed her the way."
Grimms,49_the_six_swans,"The children, who saw from a distance that some one was approaching, thought that their dear father was coming to them, and full of joy, ran to meet him."
Grimms,49_the_six_swans,"Then she threw one of the little shirts over each of them, and no sooner had the shirts touched their bodies than they were changed into swans, and flew away over the forest."
Grimms,49_the_six_swans,"The Queen went home quite delighted, and thought she had got rid of her step-children, but the girl had not run out with her brothers, and the Queen knew nothing about her."
Grimms,49_the_six_swans,"Next day the King went to visit his children, but he found no one but the little girl."
Grimms,49_the_six_swans,"""Where are thy brothers?"" asked the King."
Grimms,49_the_six_swans,"""Alas, dear father,"" she answered, ""they have gone away and left me alone!"" and she told him that she had seen from her little window how her brothers had flown away over the forest in the shape of swans, and she showed him the feathers, which they had let fall in the courtyard, and which she had picked up."
Grimms,49_the_six_swans,"The King mourned, but he did not think that the Queen had done this wicked deed, and as he feared that the girl would also be stolen away from him, he wanted to take her away with him."
Grimms,49_the_six_swans,"But she was afraid of her step-mother, and entreated the King to let her stay just this one night more in the forest castle."
Grimms,49_the_six_swans,"The poor girl thought, ""I can no longer stay here."
Grimms,49_the_six_swans,"I will go and seek my brothers."""
Grimms,49_the_six_swans,"And when night came, she ran away, and went straight into the forest."
Grimms,49_the_six_swans,"She walked the whole night long, and next day also without stopping, until she could go no farther for weariness."
Grimms,49_the_six_swans,"Then she saw a forest-hut, and went into it, and found a room with six little beds, but she did not venture to get into one of them, but crept under one, and lay down on the hard ground, intending to pass the night there."
Grimms,49_the_six_swans,"Just before sunset, however, she heard a rustling, and saw six swans come flying in at the window."
Grimms,49_the_six_swans,"They alighted on the ground and blew at each other, and blew all the feathers off, and their swan""s skins stripped off like a shirt."
Grimms,49_the_six_swans,"Then the maiden looked at them and recognized her brothers, was glad and crept forth from beneath the bed."
Grimms,49_the_six_swans,"The brothers were not less delighted to see their little sister, but their joy was of short duration."
Grimms,49_the_six_swans,"""Here canst thou not abide,"" they said to her."
Grimms,49_the_six_swans,"""This is a shelter for robbers, if they come home and find thee, they will kill thee."""
Grimms,49_the_six_swans,"""But can you not protect me?"" asked the little sister."
Grimms,49_the_six_swans,"""No,"" they replied, ""only for one quarter of an hour each evening can we lay aside our swan""s skins and have during that time our human form; after that, we are once more turned into swans."""
Grimms,49_the_six_swans,"The little sister wept and said, ""Can you not be set free?"""
Grimms,49_the_six_swans,"""Alas, no,"" they answered, ""the conditions are too hard!"
Grimms,49_the_six_swans,"For six years thou mayst neither speak nor laugh, and in that time thou must sew together six little shirts of starwort for us."
Grimms,49_the_six_swans,"And if one single word falls from thy lips, all thy work will be lost."""
Grimms,49_the_six_swans,"And when the brothers had said this, the quarter of an hour was over, and they flew out of the window again as swans."
Grimms,49_the_six_swans,"The maiden, however, firmly resolved to deliver her brothers, even if it should cost her her life."
Grimms,49_the_six_swans,"She left the hut, went into the midst of the forest, seated herself on a tree, and there passed the night."
Grimms,49_the_six_swans,Next morning she went out and gathered starwort and began to sew.
Grimms,49_the_six_swans,"She could not speak to any one, and she had no inclination to laugh; she sat there and looked at nothing but her work."
Grimms,49_the_six_swans,"When she had already spent a long time there it came to pass that the King of the country was hunting in the forest, and his huntsmen came to the tree on which the maiden was sitting."
Grimms,49_the_six_swans,"They called to her and said, ""Who art thou?"""
Grimms,49_the_six_swans,But she made no answer.
Grimms,49_the_six_swans,"""Come down to us,"" said they."
Grimms,49_the_six_swans,"""We will not do thee any harm."""
Grimms,49_the_six_swans,She only shook her head.
Grimms,49_the_six_swans,"As they pressed her further with questions she threw her golden necklace down to them, and thought to content them thus."
Grimms,49_the_six_swans,"They, however, did not cease, and then she threw her girdle down to them, and as this also was to no purpose, her garters, and by degrees everything that she had on that she could do without until she had nothing left but her shift."
Grimms,49_the_six_swans,"The huntsmen, however, did not let themselves be turned aside by that, but climbed the tree and fetched the maiden down and led her before the King."
